"world_rank","university_name","national_rank","total_score","alumni","award","hici","ns","pub","pcp","year","lon","lat"
"401-500","University of Granada","5-9",NA,0,0,0,6.5,31.8,13.8,2005,-3.600767,37.183853
"401-500","University of Haifa","7",NA,0,0,7.9,5.2,26.4,11.9,2005,35.0195184,32.7614296
"401-500","University of Idaho","141-168",NA,0,0,7.9,6.7,22.5,13.5,2005,-117.0126084,46.7288124
"401-500","University of Jena","34-40",NA,0,0,0,8.6,32.2,14.2,2005,11.5898195,50.9295513
"401-500","University of Jyvaskyla","3-5",NA,0,0,7.9,9,23.2,11.1,2005,25.7316335,62.2365317
"401-500","University of KwaZulu-Natal","3-4",NA,0,0,7.9,8.9,23.1,11,2005,30.9807272,-29.8674219
"401-500","University of Lisbon","1",NA,0,9.1,0,3.8,24.3,11.1,2005,-9.1567472,38.7530019
"401-500","University of Louisville","141-168",NA,0,0,0,8,31.2,15.6,2005,-85.7601557,38.2150452
"401-500","University of Maastricht","12",NA,0,0,0,4.9,32.6,17.3,2005,5.6864017,50.8471422
"401-500","University of Maine","141-168",NA,0,0,7.9,10.6,19.5,13.6,2005,-68.6696269,44.9013457
"401-500","University of Maryland, Baltimore County","141-168",NA,0,0,11.1,8.6,20.4,14.9,2005,-76.7111956,39.2551135
"401-500","University of Mississippi","141-168",NA,0,0,7.9,4.9,24.3,11,2005,-89.538443,34.3647324
"401-500","University of Oulu","3-5",NA,0,0,0,6.9,29.9,13,2005,25.4662935,65.0593177
"401-500","University of Parma","19-23",NA,0,0,0,7.8,27.9,13.6,2005,10.3257786,44.8011856
"401-500","University of Pretoria","3-4",NA,0,0,0,9.4,25.4,11.5,2005,28.2314476,-25.7545492
"401-500","University of Provence (Aix-Marseille 1)","20-21",NA,8.9,0,7.9,5.5,22,10.5,2005,5.4109885,43.3369618
"401-500","University of Quebec","20-23",NA,0,0,0,6.6,31.6,13.7,2005,-71.2747424,46.7817463
"401-500","University of Rostock","34-40",NA,0,0,7.9,6,25,11.4,2005,12.1035044,54.0755448
"401-500","University of Sevilla","5-9",NA,0,0,0,8.7,30.7,13.6,2005,-5.9912307,37.3807579
"401-500","University of Sherbrooke","20-23",NA,0,0,7.9,9.7,22.5,10.9,2005,-71.9255204,45.3768886
"401-500","University of Siena","19-23",NA,0,0,0,6.9,27.1,16.6,2005,11.3330265,43.3191557
"401-500","University of Surrey","37-40",NA,0,0,0,6.4,30.2,13.1,2005,-0.5904827,51.2423009
"401-500","University of Tasmania","11-14",NA,0,0,7.9,7.5,24.6,15.3,2005,147.3266391,-42.9035119
"401-500","University of Tennessee Health Science Center","141-168",NA,0,0,7.9,2.2,25.3,11.3,2005,-90.0304635,35.140441
"401-500","University of Trieste","19-23",NA,0,0,0,7.8,27.6,15.4,2005,13.7934477,45.658667
"401-500","University of Tromso","4",NA,0,0,11.1,4.6,21.8,10.6,2005,18.9712162,69.6798027
"401-500","University of Wisconsin - Milwaukee","141-168",NA,14,0,0,6.4,25.6,11.8,2005,-87.8819686,43.078263
"401-500","University of Wroclaw","3",NA,8.9,0,0,6.2,25.2,11.3,2005,17.034463,51.1140053
"401-500","University of Zaragoza","5-9",NA,0,0,7.9,4.3,27.3,12.2,2005,-0.90034,41.64213
"401-500","Victor Segalen Bordeaux 2 University","20-21",NA,0,0,7.9,12.6,21.2,11,2005,-0.6063419,44.8251764
"401-500","Victoria University of Wellington","3-5",NA,15.4,0,0,8.1,22,11,2005,174.7686615,-41.2904017
"401-500","Vrije University Brussel","7",NA,0,0,0,9.1,27.5,20.6,2005,4.394886,50.821658
"401-500","York University","20-23",NA,0,0,0,10.8,27.8,12.7,2005,-79.5018684,43.7734535
"1","Harvard University","1",100,100,100,100,100,100,73.6,2006,-71.1166286,42.3800977
"2","University of Cambridge","1",72.6,96.3,91.5,53.8,59.5,67.1,66.5,2006,0.1177882,52.2016671
"3","Stanford University","2",72.5,39.7,70.7,88.4,70,71.4,65.3,2006,-117.8389422,33.6518297
"4","University of California, Berkeley","3",72.1,70.6,74.5,70.5,72.2,71.9,53.1,2006,-122.2447958,37.8805941
"5","Massachusetts Institute of Technology (MIT)","4",69.7,72.9,80.6,66.6,66.4,62.2,53.6,2006,-71.09416,42.360091
"6","California Institute of Technology","5",66,57.1,69.1,59.1,64.5,50.1,100,2006,-118.125269,34.1376576
"7","Columbia University","6",61.8,78.2,59.4,56,53.6,69.8,45.8,2006,-73.9625727,40.8075355
"8","Princeton University","7",58.6,61.1,75.3,59.6,43.5,47.3,58,2006,-74.6582332,40.3492867
"8","University of Chicago","7",58.6,72.9,80.2,49.9,43.7,54.1,41.8,2006,-87.5903039,41.7857416
"10","University of Oxford","2",57.6,62,57.9,48,54.3,66,46,2006,-117.8273389,33.6504742
"11","Yale University","9",55.9,50.3,43.6,59.1,56.6,63,49.3,2006,-90.315018,38.6595336
"12","Cornell University","10",54.1,44.9,51.3,56,48.4,65.2,40.1,2006,-117.8357356,33.6493781
"13","University of California, San Diego","11",50.5,17.1,34,59.6,54.8,65.6,47.1,2006,-117.2340135,32.8800604
"14","University of California, Los Angeles","12",50.4,26.4,32.1,57.6,47.5,77.3,34.9,2006,-118.4431764,34.0729489
"15","University of Pennsylvania","13",50.1,34.2,34.4,57,41.7,73.6,40,2006,-90.3149303,38.6736751
"16","University of Wisconsin - Madison","14",48.8,41.5,35.5,53.3,45.1,68.3,29.3,2006,-89.4124875,43.076592
"17","University of Washington Seattle","15",48.5,27.7,31.8,53.3,47.6,75.5,27.8,2006,-122.3102213,47.6698745
"18","University of California, San Francisco","16",47.7,0,36.8,55.5,54.8,61.1,48.2,2006,-122.4575489,37.7631333
"19","The University of Tokyo","1",46.7,34.8,14.1,41.4,51.5,85.5,35.2,2006,139.761989,35.7126775
"20","The Johns Hopkins University","17",46.6,49.5,27.8,40.7,52.2,68.8,25.3,2006,-76.6205177,39.3299013
"21","University of Michigan - Ann Arbor","18",44.5,41.5,0,61.5,41.6,76.9,31.2,2006,-83.7382241,42.2780436
"22","Kyoto University","2",43.9,38.3,33.4,36.9,36.2,72.4,31.7,2006,135.7680294,35.0116363
"23","The Imperial College of Science, Technology and Medicine","3",43.4,20.1,37.4,40,39.7,64.2,40.2,2006,-0.1748772,51.4987997
"24","University of Toronto","1",42.8,27.1,19.3,38.5,36.5,78.3,44.8,2006,-79.4023299,43.666663
"25","University of Illinois at Urbana-Champaign","19",42.5,40.1,36.6,45.5,33.6,57.7,26.3,2006,-88.2271615,40.1019523
"26","University College London","4",42.2,29.6,32.2,38.5,43.2,60,33.4,2006,-0.1335692,51.5247063
"27","Swiss Federal Institute of Technology Zurich","1",41.2,38.8,36.3,35.3,39.9,43.5,52.6,2006,8.5476699,47.376313
"28","Washington University in St. Louis","20",40.4,24.2,26,37.7,45.6,55.3,40.4,2006,-90.3107962,38.6487895
"29","New York University","21",38.4,36.8,24.5,42.8,34,54,26.4,2006,-106.496973,31.777508
"30","Rockefeller University","22",38.3,21.8,58.6,28.8,44.8,24.1,38.4,2006,-73.9558291,40.7629123
"31","Duke University","23",38.2,20.1,0,48,45.4,62.4,40.3,2006,-117.166351,34.061706
"32","University of Minnesota, Twin Cities","24",37.8,34.8,0,50.4,34.1,69.7,24.3,2006,-93.2277285,44.97399
"33","Northwestern University","25",37.6,21,18.9,44.9,33.6,57.1,36.7,2006,-87.6197349,41.8954119
"34","University of Colorado at Boulder","26",36.4,16,30.8,40,37,46.4,30.1,2006,-105.2659417,40.007581
"35","University of California, Santa Barbara","27",36.1,0,35.3,42.1,37,43.7,35.7,2006,-117.8082831,33.6858022
"36","University of British Columbia","2",35.5,20.1,18.9,31.7,31.9,62.1,36.6,2006,-123.2459939,49.2606052
"37","University of Maryland, College Park","28",35.4,25,20,40,32.7,53.8,26.4,2006,-76.9367935,38.9920364
"38","The University of Texas Southwestern Medical Center at Dallas","29",35.2,23.4,33.2,31.7,38.1,39.8,33.5,2006,-96.8400459,32.812123
"39","The University of Texas at Austin","30",34.9,21,16.7,48,28.3,55.4,21.8,2006,-97.7340567,30.2849185
"40","Utrecht University","1",33.4,29.6,20.9,28.8,27.5,57.3,26.9,2006,5.1214201,52.0907374
"41","Vanderbilt University","31",33.2,12.1,29.6,32.6,24.7,50.6,36.2,2006,-73.7199435,40.7694536
"42","Pennsylvania State University - University Park","32",32.7,13.5,0,44.9,37.7,58,23.8,2006,-77.8599084,40.7982133
"42","University of California, Davis","32",32.7,0,0,47.4,33.3,63.3,30.1,2006,-121.7209826,38.5494919
"44","University of California, Irvine","34",32.6,0,29.4,35.3,28.9,49,32.4,2006,-117.853022,33.664081
"45","Pierre and Marie  Curie University - Paris 6","1",32.4,34.4,23.5,23.1,24.9,52.9,32.5,2006,2.357499,48.8471036
"46","Rutgers, The State University of New Jersey - New Brunswick","35",32.3,14.8,20,38.5,32.7,46.5,24.6,2006,-74.4470536,40.5014869
"47","University of Southern California","36",32,0,26.8,37.7,24.1,54,26.6,2006,-117.2914463,34.1036186
"48","Karolinska Institute","1",31.9,29.6,27.3,33.5,18,48.7,25.6,2006,18.0214528,59.3494376
"48","University of Pittsburgh","37",31.9,24.2,0,40,24,65,28.6,2006,-79.960835,40.4443533
"50","The University of Manchester","5",31.7,26.4,18.9,24.3,24.9,58.7,28.7,2006,-2.2338837,53.4668498
"51","University of Munich","1",31.5,35.8,22.9,15.4,28,52.9,32.2,2006,11.582443,48.150942
"52","The University of Edinburgh","6",31.4,21.8,16.7,25.5,35.4,49.3,30.3,2006,-3.1892413,55.9445158
"53","University of Florida","38",31,21.8,0,36.1,25.1,65.6,26.7,2006,-80.277027,25.714868
"54","Technical University Munich","2",30.8,41.5,23.6,24.3,19.5,46.2,30.7,2006,11.5678602,48.14966
"54","The Australian National University","1",30.8,17.1,12.6,37.7,30.1,44.4,32.8,2006,149.118527,-35.2776999
"56","Carnegie Mellon University","39",30.5,33.7,32.8,32.6,12.7,37.5,31.8,2006,-79.9441368,40.4432289
"56","University of Copenhagen","1",30.5,29.6,24.2,23.1,24.8,46.4,30,2006,121.0990078,14.6064499
"58","University of Zurich","2",30.4,12.1,26.8,21.8,29.7,47.9,31.4,2006,8.5595886,47.3588302
"59","University of North Carolina at Chapel Hill","40",30.3,12.1,0,37.7,29.3,60.3,27.9,2006,-78.9399682,35.9681485
"60","The Hebrew University of Jerusalem","1",30,32,20,25.5,25.2,44.7,29.5,2006,35.2414009,31.7945578
"61","Osaka University","3",29.6,12.1,0,25.5,30.7,67,29.9,2006,-99.1462101,19.2848865
"62","McGill University","3",29.5,27.7,0,30.8,22.4,59.7,33.5,2006,-113.9836203,46.8624181
"62","University of Bristol","7",29.5,10.5,17.9,29.8,26.3,47.8,33.2,2006,-2.6259899,51.4771065
"64","University of Paris Sud (Paris 11)","2",29.4,32,33.5,13.3,20.8,44.7,29.7,2006,2.1764839,48.6976847
"65","Uppsala University","2",29.3,25,32.2,13.3,24.6,49.3,21.5,2006,17.6300093,59.8509005
"66","The Ohio State University - Columbus","41",29,17.1,0,40.7,20.6,61.3,19.7,2006,-83.0309143,40.0141905
"66","University of Heidelberg","3",29,19.1,27.2,18.8,21.5,49.5,29.5,2006,8.6702492,49.4191402
"68","University of Oslo","1",28.6,25,33.4,18.8,17.7,42.7,28.5,2006,121.0936889,14.6712421
"69","The University of Sheffield","8",28.5,22.6,14.1,23.1,29.2,45.8,30.2,2006,-1.4879469,53.3809409
"70","Case Western Reserve University","42",27.9,39.2,11.5,21.8,22,43.9,33.6,2006,-81.6083838,41.5043413
"70","Moscow State University","1",27.9,49.5,34.2,0,5.6,54.3,33.4,2006,37.5286695,55.7039349
"72","Leiden University","2",27.8,24.2,15.5,28.8,18.9,46,28.5,2006,4.481357,52.1569487
"73","Purdue University - West Lafayette","43",27.7,18.2,16.7,27.7,20.7,50.6,19.9,2006,-86.9211946,40.4237054
"74","University of Helsinki","1",27.6,18.2,17.9,20.4,19.2,53.4,29.2,2006,-99.1698567,19.3049111
"74","University of Rochester","44",27.6,32,8.9,26.6,21.6,43.3,35.6,2006,-77.6260033,43.1305531
"76","Tohoku University","4",27.2,18.2,0,20.4,22.6,65.9,29.2,2006,140.874074,38.253834
"76","University of Arizona","45",27.2,0,0,28.8,36.7,54,25.6,2006,-82.4530718,28.067177
"78","University of Melbourne","2",26.7,14.8,14.1,23.1,18.1,54.8,25.2,2006,144.9610796,-37.8013221
"79","University of Nottingham","9",26.2,14.8,20,23.1,18.3,45,27.6,2006,-1.1951582,52.938636
"80","Michigan State University","46",26.1,12.1,0,37.7,22.7,51.2,18.6,2006,-83.7333394,42.2752422
"81","Boston University","47",25.9,14.8,0,31.7,26.7,51.6,17.8,2006,-0.1852592,51.4925846
"81","University of Basel","3",25.9,25,17.1,20.4,22.4,36.2,35.4,2006,36.2776484,33.5117629
"83","King's College London","10",25.8,16,23.1,20.4,16.7,43.9,26.7,2006,-0.115997,51.5114864
"84","Stockholm University","3",25.6,28.4,29.6,15.4,18.5,36.9,19.7,2006,-81.5636262,41.4685433
"85","Brown University","48",25.4,0,13.6,28.8,26.7,40.5,28.4,2006,-83.9617862,43.514033
"85","University of Goettingen","4",25.4,37.3,20,15.4,15.9,40.8,26,2006,9.9374004,51.5408116
"87","Rice University","49",25.3,21,21.9,23.1,22,30.4,30.4,2006,-85.6613123,40.1136943
"88","Texas A&M University - College Station","50",25.1,0,0,31.7,24.4,55.7,20.8,2006,-99.9018131,31.9685988
"89","Tokyo Institute of Technology","5",25,16,0,23.1,23.3,51.2,32.5,2006,139.6835302,35.6051229
"90","Lund University","4",24.7,28.4,0,24.3,20.2,52.2,18.8,2006,-87.7106499,41.9722799
"90","McMaster University","4",24.7,16,18.9,21.8,14.2,44.6,25.6,2006,-81.0261039,34.0026819
"90","University of Birmingham","11",24.7,24.2,10.9,21.8,15.2,46.6,27.6,2006,-1.93668,52.45126
"93","University of Freiburg","5",24.6,24.2,20.9,17.2,18.4,38.8,24.4,2006,7.8493126,48.0028354
"94","University of Utah","51",24.5,0,0,30.8,28.6,47.1,25.3,2006,-111.8884532,33.4249307
"95","University of Iowa","52",24.3,0,0,33.5,22.4,51.6,21.8,2006,-117.3398859,33.9790905
"96","University of Strasbourg","3",24.2,28.4,22.5,18.8,16.7,33.6,23.6,2006,-117.7779478,33.6833384
"97","Indiana University Bloomington","53",24.1,13.5,17.9,24.3,18.9,40.7,17.8,2006,-86.5130173,39.1766135
"98","Nagoya University","6",24,0,14.1,15.4,21.6,52.9,25.8,2006,136.967573,35.153491
"99","Ecole Normale Superieure - Paris","4",23.6,46.1,24.5,13.3,14.8,27.3,24.1,2006,2.3451689,48.8422058
"100","Arizona State University - Tempe","54",23.5,0,14.1,21.8,27,42.6,18.1,2006,-111.9280527,33.4242399
"100","University of Roma - La Sapienza","1",23.5,16,15.5,10.9,19.4,53.3,14.8,2006,12.5144384,41.9037626
"102-150","Aarhus University","2",NA,14.8,18.9,7.7,23.8,42.7,24.6,2006,12.1021324,55.695402
"102-150","Baylor College of Medicine","55-69",NA,0,0,17.2,33.4,44.6,26.6,2006,-95.3961698,29.7104397
"102-150","Catholic University of Leuven","1-4",NA,0,0,21.8,14.1,50.5,24.3,2006,4.7002953,50.8779545
"102-150","Catholic University of Louvain","1-4",NA,13.5,13.6,15.4,11.6,44.6,27.9,2006,4.6155909,50.6696875
"102-150","Dartmouth College","55-69",NA,23.4,0,21.8,21.4,32.5,29.4,2006,-91.6514459,41.92479
"102-150","Emory University","55-69",NA,0,0,27.7,18.7,49.1,22,2006,-80.627626,28.0658079
"102-150","Georgia Institute of Technology","55-69",NA,16,0,23.1,21.8,45.5,27.2,2006,-84.3988806,33.7784626
"102-150","Ghent University","1-4",NA,8.6,15.5,15.4,6.7,50.8,28.3,2006,-123.1884423,49.2669654
"102-150","Hokkaido University","7-9",NA,0,0,15.4,15.4,54.3,22.2,2006,141.340013,43.0779575
"102-150","Kyushu University","7-9",NA,0,0,13.3,18.4,55,22.3,2006,130.4250445,33.6266584
"102-150","Mayo Medical School","55-69",NA,0,0,26.6,9.2,52.8,27.3,2006,-92.4666601,44.0225485
"102-150","National University of Singapore","1",NA,0,0,15.4,13.7,57.1,27.7,2006,7.4674717,45.7399332
"102-150","North Carolina State University - Raleigh","55-69",NA,0,0,28.8,18.9,45,19.5,2006,-78.6820946,35.7846633
"102-150","Oregon State University","55-69",NA,14.8,0,27.7,25.6,36.8,28.4,2006,-123.2794442,44.5637806
"102-150","Swiss Federal Institute of Technology of Lausanne","4-5",NA,0,0,17.2,18.1,40.7,40.7,2006,6.5667576,46.5190557
"102-150","Technion-Israel Institute of Technology","2-4",NA,18.2,23.1,13.3,14,41,23.9,2006,35.0231271,32.7767783
"102-150","Tel Aviv University","2-4",NA,0,0,25.5,18.9,52.3,27.9,2006,34.8046043,32.1036332
"102-150","The University of Georgia","55-69",NA,0,0,27.7,21,46.1,18.6,2006,-83.3773221,33.9480053
"102-150","The University of Glasgow","12-15",NA,12.1,0,20.4,17.8,43.6,23.4,2006,-4.2890699,55.8734218
"102-150","The University of Queensland","3-5",NA,16,0,7.7,18.8,52.5,24.6,2006,151.9287869,-27.6061106
"102-150","The University of Western Australia","3-5",NA,17.1,14.1,20.4,13.1,40.4,27.1,2006,115.8199096,-31.981179
"102-150","Tufts University","55-69",NA,18.2,16.7,20.4,16.4,37.8,25.1,2006,-71.120482,42.4036848
"102-150","University Libre Bruxelles","1-4",NA,21,18.9,7.7,14.6,33,26.8,2006,4.3822222,50.8132068
"102-150","University of Alberta","5",NA,14.8,0,17.2,17,56.1,28.3,2006,-113.5490268,53.4943212
"102-150","University of Amsterdam","3-7",NA,8.6,0,18.8,23.4,50.4,23.7,2006,4.9470315,52.3561962
"102-150","University of Bonn","6-11",NA,19.1,20,15.4,12.7,43.5,24.4,2006,121.1009535,14.6051887
"102-150","University of California, Riverside","55-69",NA,16,0,27.7,25.3,36.5,27.8,2006,-117.3280644,33.9737055
"102-150","University of California, Santa Cruz","55-69",NA,0,0,27.7,29.2,29.5,29.2,2006,-117.3163115,33.981043
"102-150","University of Frankfurt","6-11",NA,35.3,8.9,17.2,14.1,38.6,23.6,2006,8.6677635,50.1270675
"102-150","University of Geneva","4-5",NA,28.4,0,20.4,22.7,34.6,23.7,2006,6.1011686,46.2247046
"102-150","University of Groningen","3-7",NA,0,20,13.3,18.7,45.6,20.9,2006,6.5665018,53.2193835
"102-150","University of Hamburg","6-11",NA,16,0,17.2,19.8,41.2,22.8,2006,9.9846195,53.5665641
"102-150","University of Hawaii at Manoa","55-69",NA,0,0,26.6,29.7,36.6,22.3,2006,-157.818968,21.3
"102-150","University of Illinois at Chicago","55-69",NA,0,0,26.6,15.9,47.5,21.5,2006,-117.3484801,33.9690772
"102-150","University of Leeds","12-15",NA,21.8,0,10.9,23.7,43.8,23.9,2006,-82.4315563,28.0637104
"102-150","University of Liverpool","12-15",NA,22.6,15.5,13.3,18.5,41.2,28,2006,-2.9655722,53.405936
"102-150","University of Massachusetts Amherst","55-69",NA,17.1,0,33.5,23.4,36.9,23,2006,-72.5267121,42.3911569
"102-150","University of Milan","2-3",NA,21.8,0,18.8,15.5,51.5,20.3,2006,9.1945843,45.4601435
"102-150","University of Muenster","6-11",NA,24.2,15.5,13.3,13.2,39,22.3,2006,7.6131826,51.9635705
"102-150","University of Paris Diderot (Paris 7)","5",NA,17.5,13.8,10.9,17.9,35.1,20.5,2006,2.3817936,48.8293187
"102-150","University of Pisa","2-3",NA,18.2,23.6,13.3,7.5,40.5,18.7,2006,10.3988593,43.7167235
"102-150","University of Sao Paulo","1",NA,0,0,10.9,11.5,64.2,30.2,2006,-46.7307891,-23.5613991
"102-150","University of Sussex","12-15",NA,0,22.8,18.8,15.6,28.6,31.4,2006,-0.7756403,50.8443366
"102-150","University of Sydney","3-5",NA,19.1,0,18.8,16.9,55.7,25.7,2006,149.6612155,-30.4730963
"102-150","University of Tsukuba","7-9",NA,0,20,13.3,10.8,41.9,21,2006,140.1039611,36.1087221
"102-150","University of Tuebingen","6-11",NA,28.4,0,15.4,21.5,44.4,25.2,2006,9.043774,48.5294782
"102-150","University of Virginia","55-69",NA,0,0,29.8,22.9,47.9,24.4,2006,-93.1147395,44.9494426
"102-150","University of Wuerzburg","6-11",NA,24.2,8.9,23.1,15.5,38,23.2,2006,9.9708462,49.7830083
"102-150","Weizmann Institute of Science","2-4",NA,0,0,25.5,32,32.3,23.7,2006,34.811363,31.907867
"151-200","Cardiff University","16-22",NA,0,0,13.3,17.6,42,22.9,2006,-3.1868361,51.4919075
"151-200","Colorado State University","70-87",NA,0,0,26.6,15.9,39.3,22.7,2006,-105.0807072,40.5747751
"151-200","Delft University of Technology","3-7",NA,14.8,0,7.7,21.4,38,16.7,2006,4.3570677,52.0115769
"151-200","Florida State University","70-87",NA,0,0,21.8,18.5,37.9,18.8,2006,-84.2984889,30.4418778
"151-200","Iowa State University","70-87",NA,0,0,24.3,11.4,44.7,18.5,2006,-93.6396252,42.0277899
"151-200","Joseph Fourier University (Grenoble 1)","6",NA,0,15.5,10.9,14.2,33.2,18.6,2006,5.7180539,45.1924776
"151-200","National Autonomous University of Mexico","1",NA,16,0,7.7,16.5,49.1,24.4,2006,-99.1843676,19.3188895
"151-200","National Taiwan University","1",NA,14.8,0,7.7,7.4,55.5,16.7,2006,121.518577,25.041471
"151-200","Newcastle University","16-22",NA,0,0,10.9,19,39.2,23.5,2006,151.710005,-32.8871981
"151-200","Oregon Health and Science University","70-87",NA,0,0,20.4,22.2,35.8,21.3,2006,-122.6859419,45.499045
"151-200","Queen's University","6-8",NA,0,0,18.8,16.5,36.6,20.2,2006,-80.832967,35.1888373
"151-200","Seoul National University","1",NA,0,0,7.7,14.3,64.2,19.4,2006,126.952712,37.48121
"151-200","State University of New York at Stony Brook","70-87",NA,0,0,17.2,29.3,39.5,20,2006,-73.1233889,40.9123761
"151-200","Technical University of Denmark","3",NA,8.6,12.6,17.2,12,31,18.2,2006,9.9785216,57.0149963
"151-200","The University of Alabama at Birmingham","70-87",NA,0,0,15.4,10.2,43.8,22.8,2006,-86.8059187,33.5008055
"151-200","The University of Calgary","6-8",NA,0,0,10.9,15.5,45.5,22.5,2006,-114.1358007,51.0781599
"151-200","The University of Connecticut - Storrs","70-87",NA,14.8,0,17.2,13,37.8,20,2006,-72.2539805,41.8077414
"151-200","The University of Hong Kong","1",NA,0,0,13.3,12.1,46.5,22.3,2006,114.1370848,22.2829989
"151-200","The University of Texas Health Science Center at Houston","70-87",NA,0,15.5,17.2,18.7,30.1,19.3,2006,-95.4028678,29.7029331
"151-200","The University of Texas M. D. Anderson Cancer Center","70-87",NA,0,0,23.1,12.9,41,22.2,2006,-95.3969227,29.7071429
"151-200","Tsinghua University","1",NA,13.5,0,0,10.9,60.1,20.4,2006,116.3246671,39.9990443
"151-200","University of Barcelona","1",NA,0,0,10.9,13.1,46.7,22.6,2006,-117.8207002,33.6766692
"151-200","University of Bern","6",NA,16,0,10.9,23.4,37.8,28.3,2006,121.0977098,14.6037344
"151-200","University of Buenos Aires","1",NA,21,25.3,0,9.2,36.2,21.6,2006,-58.3730695,-34.5998875
"151-200","University of Cincinnati","70-87",NA,0,0,24.3,12.4,44.6,20.8,2006,-84.5138565,39.1288979
"151-200","University of Delaware","70-87",NA,13.5,0,20.4,14.7,35.3,17.6,2006,-117.7759092,33.7105331
"151-200","University of Durham","16-22",NA,0,0,18.8,18.8,33.1,30.5,2006,-1.5782029,54.7649859
"151-200","University of East Anglia","16-22",NA,17.1,0,17.2,21.1,25.8,30.2,2006,1.2406141,52.6184758
"151-200","University of Florence","4-6",NA,0,0,17.2,15.8,39.7,16.2,2006,11.259765,43.7776426
"151-200","University of Kiel","12-15",NA,14.8,15.5,10.9,13.4,33,19,2006,10.1147022,54.3460549
"151-200","University of Koeln","12-15",NA,0,12.6,7.7,19.2,37.7,20.4,2006,6.9288192,50.9281625
"151-200","University of Leicester","16-22",NA,0,0,20.4,19.6,34.9,31.7,2006,-1.1064677,52.6084655
"151-200","University of Leipzig","12-15",NA,17.1,15.5,0,9.3,37.7,19.8,2006,12.3784615,51.3385738
"151-200","University of Mainz","12-15",NA,0,8.2,15.4,16.4,38.8,20.8,2006,8.2415552,49.9926403
"151-200","University of Maryland, Baltimore","70-87",NA,0,0,18.8,15.9,38.6,20.9,2006,-76.6245825,39.2879915
"151-200","University of Miami","70-87",NA,0,0,25.5,15,42.8,23.9,2006,-80.2792843,25.7216374
"151-200","University of Montreal","6-8",NA,14.8,0,7.7,12.2,50.3,24.3,2006,-90.350862,38.6816147
"151-200","University of Nebraska - Lincoln","70-87",NA,22.6,0,17.2,14.3,35.9,18.5,2006,-96.7004763,40.8201966
"151-200","University of New South Wales","6",NA,0,0,18.8,13.2,49.7,22.7,2006,151.710005,-32.8871981
"151-200","University of Padua","4-6",NA,0,0,13.3,16.8,47.6,17.9,2006,11.8774462,45.406766
"151-200","University of Southampton","16-22",NA,0,0,20.4,12.1,42.6,24.8,2006,-1.3962068,50.9340275
"151-200","University of St Andrews","16-22",NA,13.5,0,7.7,23.7,28.6,32,2006,-2.7930852,56.3412112
"151-200","University of Tennessee - Knoxville","70-87",NA,13.5,0,20.4,15.2,39.8,17.1,2006,-83.9294564,35.9544013
"151-200","University of Turin","4-6",NA,21,0,10.9,12.9,37.8,17.1,2006,7.6889006,45.069428
"151-200","University of Vienna","1",NA,20.1,0,0,22.8,46.7,24.6,2006,-117.8440006,33.6140008
"151-200","University of Wageningen","3-7",NA,0,0,27.7,15.3,36.9,25.8,2006,5.6657696,51.9845558
"151-200","Virginia Commonwealth University","70-87",NA,13.5,14.1,18.8,7.8,34.3,17.5,2006,-77.4534286,37.5489872
"151-200","Virginia Polytechnic Institute and State University","70-87",NA,14.8,0,18.8,12.1,41.1,17.7,2006,-80.4234167,37.2283843
"151-200","VU University Amsterdam","3-7",NA,0,0,20.4,13.6,45,23,2006,4.8658302,52.3344753
"151-200","Yeshiva University","70-87",NA,0,0,13.3,22.7,34.2,21.2,2006,111.0957348,33.4442576
"201-300","Autonomous University of Madrid","2-3",NA,0,0,13.3,11.1,37,18.6,2006,-3.6943619,40.5466983
"201-300","Brandeis University","88-118",NA,24.2,0,7.7,24.4,20,26.7,2006,-85.7551276,38.2190053
"201-300","Chalmers University of Technology","5-9",NA,0,0,17.2,9.8,31.8,18.7,2006,11.9777584,57.6883684
"201-300","Charles University in Prague","1",NA,14.8,0,0,11.4,38.4,16.5,2006,14.4234889,50.0871106
"201-300","City University of New York City College","88-118",NA,38.3,0,10.9,9.1,17.6,16.1,2006,-73.9492724,40.8200471
"201-300","Claude Bernard University Lyon 1","7-12",NA,14.8,0,0,11.2,37.4,18.4,2006,4.862939,45.779462
"201-300","Complutense University of Madrid","2-3",NA,19.1,0,0,12.7,40.7,20.4,2006,-3.7285872,40.4478246
"201-300","Dalhousie University","9-16",NA,0,0,15.4,16.9,33.9,18.6,2006,-97.1453994,49.7887693
"201-300","Ecole Polytechnique","7-12",NA,21.8,0,7.7,14.3,30.2,17.1,2006,2.2112917,48.7142971
"201-300","Erasmus University","8-9",NA,0,15.5,15.4,7.5,31.9,17.5,2006,4.525585,51.91752
"201-300","George Mason University","88-118",NA,0,32.2,10.9,0,26.1,18.8,2006,-77.3115849,38.8343675
"201-300","Georgetown University","88-118",NA,0,0,7.7,12.4,35.1,19.9,2006,-77.0722585,38.9076089
"201-300","Hiroshima University","10-12",NA,0,0,7.7,11.6,40.7,19.8,2006,132.714908,34.403123
"201-300","Keio University","10-12",NA,0,0,10.9,13.4,36.3,18.3,2006,139.7429376,35.6489643
"201-300","Kobe University","10-12",NA,0,0,13.3,13.7,34.3,17.3,2006,135.2353953,34.7256185
