"university_name","country","lon","lat"
"University of California, Riverside","United States of America",-117.3280644,33.9737055
"University of Geneva","Switzerland",6.1011686,46.2247046
"KU Leuven","Belgium",4.7005176,50.8798438
"Nanjing University","China",118.7809448,32.0569463
"Queen Mary University of London","United Kingdom",-0.0591022,51.5169409
"Michigan State University","United States of America",-83.7333394,42.2752422
"Technical University of Denmark","Denmark",9.9785216,57.0149963
"Ghent University","Belgium",-123.1884423,49.2669654
"Lancaster University","United Kingdom",-2.7850105,54.0101034
"Leiden University","Netherlands",4.481357,52.1569487
"University of Alberta","Canada",-113.5490268,53.4943212
"University of Glasgow","United Kingdom",-4.288761,55.87151
"Stockholm University","Sweden",-81.5636262,41.4685433
"Osaka University","Japan",-99.1462101,19.2848865
"University of Victoria","Canada",-117.8567958,33.6304814
"Tohoku University","Japan",140.874074,38.253834
"University of Freiburg","Germany",7.8493126,48.0028354
"University of Iowa","United States of America",-117.3398859,33.9790905
"University of Bergen","Norway",-74.1913563,40.7424432
"University of Lausanne","Switzerland",6.6528621,46.5287859
"University of Sheffield","United Kingdom",-1.48406,53.38071
"University of Montreal","Canada",-90.350862,38.6816147
"VU University Amsterdam","Netherlands",4.8658302,52.3344753
"Pierre and Marie Curie University","France",2.357499,48.8471036
"University of Dundee","United Kingdom",-82.4316809,28.0619082
"University of Barcelona","Spain",-117.8207002,33.6766692
"Utrecht University","Netherlands",5.1214201,52.0907374
"Wageningen University and Research Center","Netherlands",5.6653948,51.9691868
"University of Auckland","New Zealand",174.7699782,-36.8490661
"University of Birmingham","United Kingdom",-1.93668,52.45126
"Alexandria University","Egypt",-117.8205127,33.6817395
"Uppsala University","Sweden",17.6300093,59.8509005
"Hong Kong Polytechnic University","Hong Kong",114.178928,22.302516
"University of Aberdeen","United Kingdom",-82.4317193,28.0653457
"Delft University of Technology","Netherlands",4.3570677,52.0115769
"Birkbeck, University of London","United Kingdom",-0.130217,51.5219285
"Newcastle University","United Kingdom",151.710005,-32.8871981
"University of New South Wales","Australia",151.710005,-32.8871981
"Pompeu Fabra University","Spain",2.1790535,41.3793687
"Indiana University","United States of America",-86.5269373,39.1670467
"Iowa State University","United States of America",-93.6396252,42.0277899
"Georgia Health Sciences University","United States of America",-82.9000751,32.1656221
"Erasmus University Rotterdam","Netherlands",4.525585,51.91752
"University of Delaware","United States of America",-117.7759092,33.7105331
"Arizona State University","United States of America",-111.9339825,33.4205343
"Boston College","United States of America",-0.0147452,52.9733763
"National Sun Yat-Sen University","Taiwan",120.265922,22.625005
"Georgetown University","United States of America",-77.0722585,38.9076089
"University of Amsterdam","Netherlands",4.9470315,52.3561962
"University of Liverpool","United Kingdom",-2.9655722,53.405936
"Aarhus University","Denmark",12.1021324,55.695402
"University of Leeds","United Kingdom",-82.4315563,28.0637104
"University of Würzburg","Germany",9.9533548,49.7913044
"University of Groningen","Netherlands",6.5665018,53.2193835
"Sun Yat-sen University","China",113.29947,23.103702
"Goethe University Frankfurt","Germany",8.6293081,50.1703746
"Bielefeld University","Germany",8.4963449,52.0354177
"Nanyang Technological University","Singapore",-120.554501,34.865784
"University of East Anglia","United Kingdom",1.2406141,52.6184758
"University of Nottingham","United Kingdom",-1.1951582,52.938636
"University of Copenhagen","Denmark",121.0990078,14.6064499
"Humboldt University of Berlin","Germany",13.5333041,52.4321218
"Monash University","Australia",145.1340508,-38.1532011
"University of Bonn","Germany",121.1009535,14.6051887
"National Chiao Tung University","Taiwan",120.294197,22.925346
"RWTH Aachen University","Germany",6.0656869,50.7800778
"Middle East Technical University","Turkey",33.0307541,35.246756
"University of Exeter","United Kingdom",-117.8296666,33.6508563
"University of Twente","Netherlands",6.8524128,52.2410326
"University of Konstanz","Germany",-112.0125261,33.3752269
"Karlsruhe Institute of Technology","Germany",8.4170303,49.0119199
"University of Innsbruck","Austria",-81.2365003,28.5527426
"University of Tübingen","Germany",9.0576448,48.5216364
"Drexel University","United States of America",-90.3312523,38.6677847
"University of Cincinnati","United States of America",-84.5138565,39.1288979
"Yonsei University","South Korea",126.938572,37.565784
"Dalhousie University","Canada",-97.1453994,49.7887693
"KTH Royal Institute of Technology","Sweden",18.0706645,59.3498065
"University of Vienna","Austria",-117.8440006,33.6140008
"Kent State University","United States of America",-81.3449261,41.1507253
"University of Illinois at Chicago","United States of America",-117.3484801,33.9690772
"Zhejiang University","China",120.1689207,30.2929634
"Simon Fraser University","Canada",-122.9198833,49.2780937
"Swedish University of Agricultural Sciences","Sweden",17.6628688,59.814947
"University of Wisconsin-Madison","United States of America",-89.4052247,43.0765915
"University of Texas at Austin","United States of America",-97.7335226,30.2850284
"University of Rochester","United States of America",-77.6260033,43.1305531
"University of Bern","Switzerland",121.0977098,14.6037344
"Hebrew University of Jerusalem","Israel",35.196198,31.779193
"University of Florida","United States of America",-80.277027,25.714868
"Brandeis University","United States of America",-85.7551276,38.2190053
"Chinese University of Hong Kong","Hong Kong",114.203926,22.417442
"Free University of Berlin","Germany",13.404954,52.5200066
"University of Warwick","United Kingdom",-1.563191,52.379411
"Radboud University Nijmegen","Netherlands",5.8372264,51.8125626
"Medical University of South Carolina","United States of America",-79.9514049,32.7870748
"Texas A&M University","United States of America",-99.9018131,31.9685988
"University of Reading","United Kingdom",-0.948534,51.440262
"Tel Aviv University","Israel",34.8046043,32.1036332
"Paris Diderot University – Paris 7","France",2.3075232,48.8588342
"Université Catholique de Louvain","Belgium",4.4482526,50.4079951
"University of Miami","United States of America",-80.2792843,25.7216374
"Queen’s University","Canada",-73.7948516,40.7282239
"University of São Paulo","Brazil",-46.7307891,-23.5613991
"University of Oslo","Norway",121.0936889,14.6712421
"University of Ottawa","Canada",-75.6828,45.4248599
"University of Western Australia","Australia",150.7397635,-33.7699666
"City University of Hong Kong","Hong Kong",114.1720025,22.3374868
"Maastricht University","Netherlands",5.6886039,50.8442878
"University of Leicester","United Kingdom",-1.1064677,52.6084655
"Autonomous University of Barcelona","Spain",2.1640917,41.3855048
"Cardiff University","United Kingdom",-3.1868361,51.4919075
"Colorado School of Mines","United States of America",-105.2344334,39.7458208
"Nagoya University","Japan",136.967573,35.153491
"Northeastern University","United States of America",-71.0894884,42.340082
"Technion Israel Institute of Technology","Israel",35.0231271,32.7767783
"Tulane University","United States of America",-90.3302509,38.6628918
"Ulm University","Germany",-92.0610366,32.5320588
"Umeå University","Sweden",20.3116101,63.8215945
"University at Buffalo","United States of America",-82.3457627,36.3051823
"University of Essex","United Kingdom",-83.0524629,40.0024922
"University of Georgia","United States of America",44.779722,41.7229257
"University of Gothenburg","Sweden",11.9853213,57.6954209
"University of Medicine and Dentistry of New Jersey","United States of America",-74.4701962,40.5255752
"University of Otago","New Zealand",170.513132,-45.863208
"University of South Carolina","United States of America",-81.0274276,33.996112
"University of Strasbourg","France",-117.7779478,33.6833384
"University of Waterloo","Canada",-80.541671,43.473289
"University of Western Ontario","Canada",-81.2769422,43.0010299
"Université Libre de Bruxelles","Belgium",4.3822222,50.8132068
"Carleton University","Canada",-75.698312,45.3830819
"Chalmers University of Technology","Sweden",11.9777584,57.6883684
"Colorado State University","United States of America",-105.0807072,40.5747751
"Creighton University","United States of America",-95.9428199,41.2623774
"Fudan University","China",121.5014465,31.2985307
"Korea University","South Korea",127.035859,37.590401
"Macquarie University","Australia",151.1185824,-33.7775092
"State University of New York Albany","United States of America",-73.7611058,42.6558252
"Tokyo Metropolitan University","Japan",139.6917064,35.6894875
"University of Bologna","Italy",-97.379464,32.7170887
"University of Calgary","Canada",-114.1358007,51.0781599
"University of Hamburg","Germany",9.9846195,53.5665641
"University of Milan","Italy",9.1945843,45.4601435
"University of Milan-Bicocca","Italy",9.213452,45.518383
"University of Missouri","United States of America",-92.3277375,38.9403808
"University of Padua","Italy",11.8774462,45.406766
"University of Trieste","Italy",13.7934477,45.658667
"Bangor University","United Kingdom",-4.1299874,53.2295205
"Brunel University London","United Kingdom",-0.4692108,51.5331581
"Johannes Kepler University of Linz","Austria",14.3219434,48.3375357
"Kyushu University","Japan",130.4250445,33.6266584
"Norwegian University of Science and Technology","Norway",10.402077,63.419499
"Queen’s University Belfast","United Kingdom",-5.9340494,54.5844087
"Ruhr University Bochum","Germany",7.2616093,51.4456659
"Stellenbosch University","South Africa",18.864447,-33.9328078
"Tilburg University","Netherlands",5.0419736,51.5631406
"TU Dresden","Germany",13.7289964,51.0292734
"University of Bath","United Kingdom",-2.3272635,51.3781162
"University of Graz","Austria",15.4499126,47.0777872
"University of Kiel","Germany",10.1147022,54.3460549
"University of Southern Denmark","Denmark",10.4280674,55.3706746
"University of Texas at Dallas","United States of America",-96.7500993,32.9857619
"University of the Witwatersrand","South Africa",28.0305044,-26.1930344
"University of Tsukuba","Japan",140.1039611,36.1087221
"University of Wollongong","Australia",150.87843,-34.4054039
"Victoria University of Wellington","New Zealand",174.7686615,-41.2904017
"Virginia Polytechnic Institute and State University","United States of America",-80.4234167,37.2283843
"Wayne State University","United States of America",-83.0665462,42.3591388
"Aberystwyth University","United Kingdom",-4.0632712,52.4153984
"Autonomous University of Madrid","Spain",-3.6943619,40.5466983
"Hokkaido University","Japan",141.340013,43.0779575
"Istanbul Technical University","Turkey",29.0253401,41.1055941
"Lomonosov Moscow State University","Russian Federation",37.5286695,55.7039349
"Montpellier University","France",3.8603619,43.6319555
"Queensland University of Technology","Australia",153.0284231,-27.477356
"State University of Campinas","Brazil",-47.0647206,-22.8184393
"Technical University of Darmstadt","Germany",8.6568726,49.8751004
"Tokyo Medical and Dental University (TMDU)","Japan",139.764451,35.7012897
"UiT The Arctic University of Norway","Norway",18.9712162,69.6798027
"University of Antwerp","Belgium",4.4102318,51.2228097
"University of Crete","Greece",25.0826527,35.3073146
"University of Guelph","Canada",-80.2245283,43.5331548
"University of Iceland","Iceland",-21.9518896,64.1396203
"University of Kansas","United States of America",-95.2557961,38.9543439
"University of Kentucky","United States of America",-84.5039697,38.0306511
"University of Münster","Germany",7.6131826,51.9635705
"University of Newcastle","Australia",151.7041775,-32.8927718
"University of Texas at San Antonio","United States of America",-98.6207675,29.5830244
"University of Trento","Italy",11.1231165,46.0667967
"York University","Canada",-79.5018684,43.7734535
"Aalborg University","Denmark",9.9818527,57.0145665
"Aalto University","Finland",24.827682,60.1866693
"Bar-Ilan University","Israel",34.8430876,32.0691989
"Binghamton University, State University of New York","United States of America",-75.9697049,42.0893553
"Boğaziçi University","Turkey",29.0510399,41.0847571
"Charles Darwin University","Australia",130.8689199,-12.3717852
"Charles University in Prague","Czech Republic",14.4234889,50.0871106
"George Mason University","United States of America",-77.3115849,38.8343675
"Indian Institute of Technology Bombay","India",72.9132679,19.1334302
"Jagiellonian University","Poland",19.9341074,50.0609623
"Keele University","United Kingdom",-2.272053,53.0034373
"Keio University","Japan",139.7429376,35.6489643
"Lehigh University","United States of America",-75.3782832,40.6069087
"Linköping University","Sweden",15.5760072,58.3978364
"National Taiwan University of Science and Technology (Taiwan Tech)","Taiwan",121.5416515,25.0130679
"Plymouth University","United Kingdom",-4.1406465,50.3745284
"Polytechnic University of Milan","Italy",9.2272764,45.4781071
"Sapienza University of Rome","Italy",12.5144384,41.9037626
"Shanghai Jiao Tong University","China",121.4337784,31.0252201
"Sharif University of Technology","Iran",51.351593,35.7036366
"Sungkyunkwan University (SKKU)","South Korea",126.993606,37.588227
"University College Cork","Republic of Ireland",-8.4932738,51.8921099
"University of Aveiro","Portugal",-8.657506,40.6303024
"University of Canterbury","New Zealand",172.5839233,-43.5235375
"University of Eastern Finland","Finland",29.744203,62.603598
"University of Ferrara","Italy",11.6261625,44.8334234
"University of Hertfordshire","United Kingdom",-0.2467997,51.7617561
"University of Houston","United States of America",-95.3422334,29.7199489
"University of Hull","United Kingdom",-0.3673875,53.7714552
"University of Liège","Belgium",5.559064,50.5830803
"University of Manitoba","Canada",-97.1366259,49.8075008
"University of Maryland, Baltimore County","United States of America",-76.7111956,39.2551135
"University of Modena and Reggio Emilia","Italy",10.9279258,44.6451116
"University of Oklahoma","United States of America",-97.4457137,35.2058936
"University of Pisa","Italy",10.3988593,43.7167235
"University of Porto","Portugal",-8.6156998,41.1465479
"University of South Florida","United States of America",-82.4138539,28.0587031
"University of Stirling","United Kingdom",-3.918879,56.1459171
"University of Surrey","United Kingdom",-0.5904827,51.2423009
"University of Tampere","Finland",23.7787354,61.4937448
"University of Tasmania","Australia",147.3266391,-42.9035119
"University of Valencia","Spain",-0.3593863,39.4793254
"University of Waikato","New Zealand",175.3184579,-37.7868611
"University of Warsaw","Poland",21.0186012,52.2403463
"Vienna University of Technology","Austria",16.3684626,48.1986546
"Vrije Universiteit Brussel","Belgium",4.394886,50.821658
"Washington State University","United States of America",-117.1542121,46.7319225
"Aston University","United Kingdom",-1.8902314,52.4869642
"Auburn University","United States of America",-85.4951663,32.5933574
"Clemson University","United States of America",-82.8391551,34.680476
"Curtin University","Australia",115.8944182,-32.0061951
"Deakin University","Australia",145.1149452,-37.8477381
"Flinders University","Australia",138.5713281,-35.0244952
"Georgia State University","United States of America",-84.3852819,33.753068
"Griffith University","Australia",153.053674,-27.5536791
"Harbin Institute of Technology","China",126.633425,45.747047
"Heriot-Watt University","United Kingdom",-3.3203494,55.9096602
"Hiroshima University","Japan",132.714908,34.403123
"Kansas State University","United States of America",-96.5847249,39.1974437
"Kobe University","Japan",135.2353953,34.7256185
"Kyung Hee University","South Korea",127.052544,37.5961951
"La Trobe University","Australia",145.0483946,-37.7207268
"Leibniz University of Hanover","Germany",9.7196989,52.3829641
"Liverpool John Moores University","United Kingdom",-2.9712846,53.4034017
"Loughborough University","United Kingdom",-1.224632,52.769227
"Mahidol University","Thailand",100.3233845,13.7947609
"Massey University","New Zealand",175.619553,-40.3867649
"Michigan Technological University","United States of America",-88.5445293,47.1170498
"National Central University","Taiwan",121.1925163,24.9694808
"National Taiwan Ocean University","Taiwan",121.7768159,25.1501756
"National University of Ireland, Galway","Republic of Ireland",-9.061603,53.276645
"National University of Ireland, Maynooth","Republic of Ireland",-6.6000704,53.3838822
"New Jersey Institute of Technology","United States of America",-74.1778803,40.7425572
"New University of Lisbon","Portugal",-9.160333,38.733682
"Old Dominion University","United States of America",-76.3035628,36.888947
"Polytechnic University of Catalonia","Spain",2.1132804,41.388004
"Polytechnic University of Turin","Italy",7.6620529,45.0627948
"Polytechnic University of Valencia","Spain",-0.341067,39.481059
"Pontifical Catholic University of Chile","Chile",-70.6407933,-33.4411279
"Saint Petersburg State University","Russian Federation",30.2989198,59.941894
"Swansea University","United Kingdom",-3.982132,51.608392
"Swinburne University of Technology","Australia",145.0389546,-37.8221504
"Tokyo University of Agriculture and Technology","Japan",139.478664,35.683986
"University of Bari Aldo Moro","Italy",16.8684745,41.1205546
"University of Coimbra","Portugal",-8.4241509,40.2089072
"University of Idaho","United States of America",-117.0126084,46.7288124
"University of Kent","United Kingdom",1.071629,51.298536
"University of Paris North – Paris 13","France",2.341461,48.956209
"University of Salento","Italy",18.1672669,40.3495599
"University of South Australia","Australia",138.6066669,-34.9201652
"University of Strathclyde","United Kingdom",-4.2428535,55.8628285
"University of Tartu","Estonia",26.7198658,58.3810843
"University of Turku","Finland",22.2851138,60.4562974
"University of Wyoming","United States of America",-105.5796706,41.3130972
"University of Zaragoza","Spain",-0.90034,41.64213
"Waseda University","Japan",139.7208045,35.7092082
"Wuhan University","China",114.3643219,30.5360485
"Yuan Ze University","Taiwan",121.2664937,24.9699006
"Paris-Sud University","France",2.1764839,48.6976847
"Joseph Fourier University","France",4.915197,44.91763
"Johannes Gutenberg University of Mainz","Germany",8.2415552,49.9926403
"St George’s, University of London","United Kingdom",-0.1745034,51.4271937
"University of Erlangen-Nuremberg","Germany",11.0045507,49.5978804
"Florida Institute of Technology","United States of America",-80.623022,28.0646888
"Indian Institute of Technology Kharagpur","India",87.3105311,22.3149274
"Koç University","Turkey",29.0732704,41.2053128
"Laval University","Canada",-71.2747424,46.7817463
"Mines ParisTech","France",2.339632,48.845585
"National Research Nuclear University MePhI","Russian Federation",37.6638741,55.649567
"University of Connecticut","United States of America",-72.2539805,41.8077414
"University of Oregon","United States of America",-123.0726055,44.0448302
"Bayreuth University","Germany",11.585831,49.9288196
"Oregon State University","United States of America",-123.2794442,44.5637806
"University of Montana","United States of America",-113.9852081,46.8600672
"University of Turin","Italy",7.6889006,45.069428
"Claude Bernard University Lyon 1","France",4.862939,45.779462
"King Abdulaziz University","Saudi Arabia",39.2457769,21.4938519
"Medical University of Vienna","Austria",16.351571,48.219673
"Murdoch University","Australia",115.8329519,-32.0686354
"National Cheng Kung University","Taiwan",120.2180947,22.9996873
"North Carolina State University","United States of America",-78.6820946,35.7846633
"Renmin University of China","China",116.3188145,39.9696062
"University of Fribourg","Switzerland",7.152006,46.806357
"University of Pavia","Italy",9.1555362,45.1864597
"University of Portsmouth","United Kingdom",-1.0935686,50.7951287
"University of Vermont","United States of America",-73.1964637,44.4778528
"Indian Institute of Technology Roorkee","India",77.8965787,29.8648599
"King Mongkut’s University of Technology Thonburi","Thailand",100.4949226,13.6517367
"National Autonomous University of Mexico","Mexico",-99.1843676,19.3188895
"Paris Dauphine University","France",2.273451,48.870029
"Southern Methodist University","United States of America",-96.7845175,32.8412178
"Temple University","United States of America",-75.1575243,39.9803336
"University of Duisburg-Essen","Germany",6.8009529,51.4277477
"University of Jyväskylä","Finland",25.7316335,62.2365317
"University of KwaZulu-Natal","South Africa",30.9807272,-29.8674219
"University of Minho","Portugal",-8.3966231,41.5598965
"University of Technology Sydney","Australia",151.2004942,-33.8832376
"University of the Andes, Colombia","Colombia",-74.065012,4.602968
"University of Vigo","Spain",-8.6833929,42.1694456
"Panjab University","India",76.7653924,30.7606188
"University of Cologne","Germany",6.9288192,50.9281625
"University of Nebraska-Lincoln","United States of America",-96.7004763,40.8201966
"University of Alaska Fairbanks","United States of America",-147.8364611,64.8575556
"Wuhan University of Technology","China",114.356477,30.610732
"China Medical University, Taiwan","Taiwan",120.6801328,24.1562767
"Hanyang University","South Korea",127.0453219,37.5572321
"Indian Institute of Technology Delhi","India",77.1926283,28.5449756
"Indian Institute of Technology Kanpur","India",80.2329,26.5123388
"King Saud University","Saudi Arabia",46.6191078,24.716241
"San Diego State University","United States of America",-117.0718893,32.7757217
"University of Florence","Italy",11.259765,43.7776426
"University of Navarra","Spain",-1.6582784,42.8024726
"University of Rovira i Virgili","Spain",1.260497,41.1196609
"Scuola Normale Superiore di Pisa","Italy",10.4003296,43.7196006
"Syracuse University","United States of America",-76.1351158,43.0391534
"Sabancı University","Turkey",29.3748667,40.8928831
"Technical University of Berlin","Germany",13.3269446,52.5125322
"Federico Santa María Technical University","Chile",-71.5956131,-33.0347298
"University of Bremen","Germany",8.85204,53.106758
"University of New Mexico","United States of America",-106.6197812,35.0843187
"Indian Institute of Science","India",77.5671423,13.0218597
"Lappeenranta University of Technology","Finland",28.0941671,61.0648818
"University of Macau","Macau",113.5466489,22.1290705
"Illinois Institute of Technology","United States of America",-87.6270059,41.8348731
"Novosibirsk State University","Russian Federation",83.0943884,54.8477462
"University of Marrakech Cadi Ayyad","Morocco",-8.0038775,31.6652074
"University of Nebraska Medical Center","United States of America",-95.9778714,41.2551186
"University of Stuttgart","Germany",9.1747024,48.7815352
"Ewha Womans University","South Korea",126.9468294,37.5618577
"Isfahan University of Technology","Iran",51.5330109,32.7200351
"Royal College of Surgeons in Ireland","Republic of Ireland",-6.261986,53.338985
"University of Lisbon","Portugal",-9.1567472,38.7530019
"University of Rome III","Italy",12.4795619,41.8620534
"University of Seoul","South Korea",127.0587771,37.5838657
"Western Sydney University","Australia",151.0251472,-33.8118321
"University of Mannheim","Germany",8.4622333,49.4837106
"Scuola Superiore Sant’Anna","Italy",10.4027859,43.7209661
"University of Luxembourg","Luxembourg",5.948386,49.504254
"Charité - Universitätsmedizin Berlin","Germany",13.3766245,52.5264618
"Copenhagen Business School","Denmark",12.529679,55.681611
"Florida State University","United States of America",-84.2984889,30.4418778
"Oregon Health and Science University","United States of America",-122.6859419,45.499045
"Paris Descartes University","France",2.340761,48.851251
"Peter the Great St Petersburg Polytechnic University","Russian Federation",30.372899,60.007357
"Royal Veterinary College","United Kingdom",-0.1335335,51.536454
"Rush University","United States of America",-87.6695315,41.8736016
"Aix-Marseille University","France",5.3591422,43.2922146
"University of Bordeaux","France",-0.5707764,44.830485
"James Cook University","Australia",146.7580624,-19.3275726
"Justus Liebig University Giessen","Germany",8.6771313,50.5804427
"Saint Louis University","United States of America",-90.2373647,38.6354092
"University of Tennessee, Knoxville","United States of America",-83.9294564,35.9544013
"Tomsk Polytechnic University","Russian Federation",84.950135,56.465427
"University of Greifswald","Germany",13.3746917,54.0949312
"Gwangju Institute of Science and Technology","South Korea",126.8407202,35.2272692
"University of Hohenheim","Germany",9.2139326,48.7119251
"Kazan Federal University","Russian Federation",49.1214348,55.790447
"Medical College of Wisconsin","United States of America",-88.020103,43.043967
"University of Naples Federico II","Italy",14.2578058,40.845492
"Örebro University","Sweden",15.24923,59.254276
"Technical University of Dortmund","Germany",7.4128386,51.4926981
"Toulouse 1 Capitole University","France",1.4371122,43.6067724
"VŠB - Technical University of Ostrava","Czech Republic",18.1636092,49.8336826
"University of Cyprus","Cyprus",33.3770175,35.1600014
"University of St Gallen","Switzerland",9.3755673,47.4321575
"Graz University of Technology","Austria",15.450342,47.0692742
"Instituto Superior Técnico Lisboa","Portugal",-9.138705,38.7368192
"University of Oulu","Finland",25.4662935,65.0593177
