"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","university_names"
"1","Harvard University","United States of America",99.7,"72.4",98.7,98.8,"34.5","96.1","20,152",8.9,"25%","",2011,"Harvard University"
"2","California Institute of Technology","United States of America",97.7,"54.6",98,99.9,"83.7","96.0","2,243",6.9,"27%","33 : 67",2011,"California Institute of Technology"
"3","Massachusetts Institute of Technology","United States of America",97.8,"82.3",91.4,99.9,"87.5","95.6","11,074",9,"33%","37 : 63",2011,"Massachusetts Institute of Technology"
"4","Stanford University","United States of America",98.3,"29.5",98.1,99.2,"64.3","94.3","15,596",7.8,"22%","42 : 58",2011,"Stanford University"
"5","Princeton University","United States of America",90.9,"70.3",95.4,99.9,"-","94.2","7,929",8.4,"27%","45 : 55",2011,"Princeton University"
"6","University of Cambridge","United Kingdom",90.5,"77.7",94.1,94,"57.0","91.2","18,812",11.8,"34%","46 : 54",2011,"University of Cambridge"
"6","University of Oxford","United Kingdom",88.2,"77.2",93.9,95.1,"73.5","91.2","19,919",11.6,"34%","46 : 54",2011,"University of Oxford"
"8","University of California, Berkeley","United States of America",84.2,"39.6",99.3,97.8,"-","91.1","36,186",16.4,"15%","50 : 50",2011,"University of California, Berkeley"
"9","Imperial College London","United Kingdom",89.2,"90.0",94.5,88.3,"92.9","90.6","15,060",11.7,"51%","37 : 63",2011,"Imperial College London"
"10","Yale University","United States of America",92.1,"59.2",89.7,91.5,"-","89.5","11,751",4.4,"20%","50 : 50",2011,"Yale University"
"11","University of California, Los Angeles","United States of America",83,"48.1",92.9,93.2,"-","87.7","38,206",10.3,"15%","52 : 48",2011,"University of California, Los Angeles"
"12","University of Chicago","United States of America",79.1,"62.8",87.9,96.9,"-","86.9","14,221",6.9,"21%","42 : 58",2011,"University of Chicago"
"13","Johns Hopkins University","United States of America",80.9,"58.5",89.2,92.3,"100.0","86.4","15,128",3.6,"23%","50 : 50",2011,"Johns Hopkins University"
"14","Cornell University","United States of America",82.2,"62.4",88.8,88.1,"34.7","83.9","21,424",10.2,"19%","48 : 52",2011,"Cornell University"
"15","ETH Zurich – Swiss Federal Institute of Technology Zurich","Switzerland",77.5,"93.7",87.8,83.1,"-","83.4","18,178",14.7,"37%","31 : 69",2011,"ETH Zurich – Swiss Federal Institute of Technology Zurich"
"15","University of Michigan","United States of America",83.9,"53.3",89.1,84.1,"59.6","83.4","41,786",9,"16%","48 : 52",2011,"University of Michigan"
"17","University of Toronto","Canada",75.8,"-",87.9,82.2,"-","82.0","66,198",19.5,"15%","",2011,"University of Toronto"
"18","Columbia University","United States of America",73.8,"90.9",73.8,92.6,"-","81.0","25,055",5.9,"28%","",2011,"Columbia University"
"19","University of Pennsylvania","United States of America",71.8,"32.9",82.7,93.6,"43.7","79.5","20,376",6.5,"20%","51 : 49",2011,"University of Pennsylvania"
"20","Carnegie Mellon University","United States of America",70.3,"39.1",79.3,95.7,"53.7","79.3","11,885",13.1,"35%","39 : 61",2011,"Carnegie Mellon University"
"21","University of Hong Kong","Hong Kong",68.4,"91.4",71.4,96.1,"56.5","79.2","19,835",17.6,"38%","53 : 47",2011,"University of Hong Kong"
"22","University College London","United Kingdom",74,"90.8",81.6,80.6,"39.0","78.4","26,607",10.7,"46%","56 : 44",2011,"University College London"
"23","University of Washington Seattle","United States of America",68.2,"49.0",77.1,95.9,"32.8","78.0","44,020",11.8,"13%","53 : 47",2011,"University of Washington Seattle"
"24","Duke University","United States of America",66.8,"49.4",71.5,92.3,"100.0","76.5","15,172",4.8,"17%","49 : 51",2011,"Duke University"
"25","Northwestern University","United States of America",64.5,"60.5",68.8,95.3,"-","75.9","18,334",13.8,"15%","48 : 52",2011,"Northwestern University"
"26","University of Tokyo","Japan",87.7,"18.4",91.9,58.1,"-","75.6","26,199",5.7,"10%","",2011,"University of Tokyo"
"27","Georgia Institute of Technology","United States of America",67.9,"73.2",72.6,83.2,"95.1","75.3","19,967",20.1,"26%","31 : 69",2011,"Georgia Institute of Technology"
"28","Pohang University of Science and Technology","South Korea",69.5,"32.6",62.5,96.5,"100.0","75.1","3,055",10.1,"4%","20 : 80",2011,"Pohang University of Science and Technology"
"29","University of California, Santa Barbara","United States of America",56.6,"64.3",68,98.8,"89.8","75.0","22,020",27.3,"11%","52 : 48",2011,"University of California, Santa Barbara"
"30","University of British Columbia","Canada",65.1,"93.3",74.8,80.3,"42.6","73.8","50,152",17.6,"25%","54 : 46",2011,"University of British Columbia"
